Egzersiz_Adi,Kategori,Ekipman,Aciklama
Smith machine squat,Legs,Vücut Ağırlığı,"Teknik ve Uygulama

Smith makinesi squatı, yönlendirilmiş, sabit bir yol izleyen bir halter kullanan geleneksel halter squatının bir varyasyonudur. İşte doğru tekniğin ayrıntılı bir açıklaması:

Başlangıç ​​Pozisyonu

Ayak Yerleşimi: Ayaklarınızı barın biraz önüne, omuz genişliğinde açın.

Bar Pozisyonu: Barı, geleneksel sırt squatına benzer şekilde, üst trapez kaslarınızın/omuzlarınızın üzerine yerleştirin.

Duruş: Kalça rotasyonunun doğal olması için ayaklar hafifçe dışa doğru açılı olabilir.

Squat Hareketi

Barı, emniyet kancalarından kurtarmak için döndürerek kaldırın.

Dizlerinizi ve kalçalarınızı bükerek vücudunuzu yavaşça aşağı indirin.

Uyluklarınız yere paralel olana (veya biraz altına) kadar inin.

Hareketin en alt noktasında kısa bir süre duraklayın.

Başlangıç ​​pozisyonuna dönmek için topuklarınızdan güç alarak yukarı çıkın.

Faydaları ve Dikkat Edilmesi Gerekenler

Avantajları

Azaltılmış Denge Gereksinimleri: Sabit bar yolu, yeni başlayanlar için daha kolay hale getirir.

Kontrollü Hareket: Serbest ağırlık squatlarına kıyasla yanlış form riski daha azdır.

İzolasyon: Odaklanmış bacak kası gelişimine olanak tanır."
Cable pull through,Legs,Vücut Ağırlığı,"**Kablo Çekme** hareketi, kalça menteşesi hareketi kullanarak kalça ve hamstring kaslarını hedefleyen bir alt vücut egzersizidir. Bunu yapmak için, en alt makara ayarına bir ip takın, ip bacaklarınızın arasında olacak şekilde makineden uzağa dönün ve gerilim oluşturmak için öne doğru adım atın. Sırtınızı düz ve dizlerinizi hafifçe bükük tutarak, hamstring kaslarınızda derin bir gerilme hissedene kadar kalçalarınızı geriye doğru, sanki arkanızdan bir kapıyı kapatmaya çalışıyormuş gibi itin.

Tekrarı tamamlamak için, kalçalarınızı patlayıcı bir şekilde öne doğru iterek ayakta durma pozisyonuna dönün ve en üst noktada kalça kaslarınızı sıkıca sıkın. Bunun **bir squat** olmadığını hatırlamak çok önemlidir; dizleriniz çok fazla bükülmemeli ve kollarınız düz ve rahat kalmalı, sadece ip için kanca görevi görmelidir. Bu hareket, geleneksel bir deadlift'e göre bel bölgesine daha az yük bindirirken kalça kaslarında sürekli bir gerilim sağlar."
Side lateral raise - Front (Cable),Shoulders,Vücut Ağırlığı,"Kablolu kaldırma aletinde, önünüzde kablo varken yan lateral kaldırma hareketini yapın ve gerginliğin omuzunuzun arka kısmına odaklanmasına dikkat edin."
Side lateral raise - Back (Cable),Shoulders,Vücut Ağırlığı,"Kablo sehpası üzerinde, kablo arkanızda olacak şekilde yan lateral kaldırma hareketi yapın. Omuzun ön kısmındaki gerginliğe odaklanın."
45° lateral raises,Shoulders,Dumbbell,Ön ve yan kaldırma hareketleri arasındaki boşlukta dambıl kaldırma
Shoulder Y-pull cable,Shoulders,Vücut Ağırlığı,Kablo askısı üzerinde kabloları çaprazlayın ve dirseklerinizi vücudunuza yakın olacak şekilde tavana doğru çekin.
Plank Reach,Abs,none (bodyweight exercise),"Vücudunuzu plank pozisyonuna getirin, gözlerinizi yere dikin. Bir kolunuzu önünüze doğru kaldırın ve indirin. Diğer kolunuzla da aynı hareketi tekrarlayın. Vücudunuzu olabildiğince sabit tutarak yavaşça kaldırıp indirin."
bicep,Arms,Vücut Ağırlığı,Açıklama mevcut değil.
cabel,Legs,Vücut Ağırlığı,Açıklama mevcut değil.
Seated machine row,Back,Vücut Ağırlığı,"Oturarak kürek çekme makinesi,
oturarak gövdeye doğru çekme kolları kullanılarak sırt (latissimus dorsi, romboidler, trapez kasları) kaslarını güçlendirmek için kullanılan bir spor salonu aletidir;
doğru form için ayarlanabilir koltuklara ve göğüs pedlerine sahiptir,
dik duruşu vurgular ve kürek kemiklerini sıkıştırır; bu da duruş ve sırt kalınlığı için çok önemlidir ve
kardiyo kürek çekme makinesinden farklıdır."
Reverse crunch,Abs,none (bodyweight exercise),"1. Yere uzanın.
2. Ellerinizi kalçalarınızın yakınına (genellikle biraz öne, alta veya her ikisine birden) yerleştirin.
3. Bacaklarınızı kaldırın, ancak yaklaşık %70 oranında pelvisinizi de kaldırabilmelisiniz.
4. (isteğe bağlı/değişken) En üst noktada 1,5 saniye bekleyin.
5. Başlangıç ​​pozisyonuna geri dönün."
Legend Incline Bench Press,Chest,Vücut Ağırlığı,LeverEdge makinesinde eğimli sehpa presi.
Single-Leg Deadlift with Dumbbell,Legs,Dumbbell,"Başlangıç ​​Pozisyonu: Dizleriniz hafifçe bükülmüş şekilde dik durun ve bir veya iki elinize bir dambıl alın. Ağırlığınızı destekleyici bacağınıza (örneğin sağ bacağınıza) verin ve destekleyici olmayan ayağınızı yerden hafifçe kaldırın.

**Eğilme:** Sırtınızı düz ve karın kaslarınızı aktif tutarak, kalçalarınızdan eğilin ve kalça kaslarınızı geriye doğru itin. Gövdeniz aşağı inerken, denge için destekleyici olmayan bacağınızı düz bir şekilde arkanıza doğru uzatın, kalçalarınızı yere paralel tutun. Dambıl(lar) destekleyici bacağınızın hizasında yere doğru inmelidir.

**Hareket Aralığı:** Gövdeniz yere neredeyse paralel olana kadar veya destekleyici hamstring kaslarınızda yoğun bir gerilme hissedene kadar indirmeye devam edin, hareket boyunca sırtınızın nötr kalmasına dikkat edin.

**Başlangıç ​​Pozisyonuna Dönüş:** En alt noktada duraklayın, ardından kalça ve hamstring kaslarınızı kasarak gövdenizi yavaşça başlangıç ​​pozisyonuna geri kaldırın. Destekleyici olmayan bacağınız, destekleyici bacağınızla aynı hizada olmalıdır.

Taraf Değiştirin: Bir tarafta istediğiniz tekrar sayısını tamamladıktan sonra, ağırlığı değiştirin ve hareketi diğer bacakta tekrarlayın."
Single Leg Glute Bridge,Legs,none (bodyweight exercise),"Kalça köprüsü, yani her seferinde sadece bir bacağınızı kullandığınız bir egzersiz."
Machine Hip Abduction,Legs,Vücut Ağırlığı,"Teknik ve Uygulama

Başlangıç ​​Pozisyonu

Oturma Pozisyonu: Sırtınız mindere yaslanmış şekilde makineye oturun.

Bacak Yerleşimi: İç uyluklarınız makinenin minderli direnç noktalarına yaslansın.

Makineyi Ayarlayın: Kalça ekleminizi makinenin pivot noktasıyla hizalamak için oturma pozisyonunu ayarlayın.

Hareket Tekniği

Bacaklarınız bitişik veya iç minderlere hafifçe bastırılmış şekilde başlayın.

Bacaklarınızı yavaşça dışarı doğru itin, birbirinden ayırın.

Maksimum rahat yanal hareket aralığına ulaşana kadar hareket edin.

Hareketin en dış noktasında kısa bir süre duraklayın.

Kontrollü bir hareketle yavaşça başlangıç ​​pozisyonuna dönün.

Biyomekanik Analiz

Kas Katılımı

Birincil Aktivasyon: Gluteus Medius (yan kalça kası)

Stabilizasyon: Karın ve alt sırt kaslarını çalıştırır.

Fonksiyonel Hareket: Yürüyüşte, sporda ve günlük aktivitelerde kullanılan yanal bacak hareketini taklit eder.

Faydaları

Güç ve Stabilite

Kalça Stabilitesini Geliştirir

Riski Azaltır Diz Yaralanmaları

Yanal Hareket Yeteneğini Geliştirir

Sıklıkla İhmal Edilen Kas Gruplarını Hedefler"
"Wrist curl, cable",Arms,Vücut Ağırlığı,"1. Kolunuzu aşağı doğru uzatın, ardından ön kolunuzu hafifçe yukarı kaldırın.
2. Bileğinizi avuç içi yukarı bakacak şekilde uzatın.
3. Kablonun yüksekliğini, kablo kolu avuç içi yukarı bakacak şekilde elinizde olacak şekilde ayarlayın.
4. Hareketi şu şekilde gerçekleştirin:

Avuç içlerinizi ve bileklerinizi yukarı doğru kıvırın.
5. (İsteğe bağlı/değişken) En üst noktada kısa bir süre bekleyin.
6. Yavaşça başlangıç ​​pozisyonuna dönün."
Chair dips,Shoulders,none (bodyweight exercise),"**Başlangıç ​​pozisyonu:**

Bir sandalyenin ön kenarına oturun, sırtınız dik, elleriniz ön kenarı tutsun. Sandalyenin kenarını tutmaya devam ederek, kollarınızı uzatın, kalçalarınızı kaldırın ve sandalyeye birkaç santim kadar yaklaşacak şekilde hafifçe öne doğru yürüyün.

**Adımlar:**

1. Sırtınızı dik tutarak vücudunuzu yavaşça indirin, kollarınız dik açı oluşturana kadar.

2. Vücudunuzu tekrar başlangıç ​​pozisyonuna kaldırın, kollarınızı uzatın.

3. Tekrarlayın."
Pec deck rear delt fly,Shoulders,Vücut Ağırlığı,"Pec deck makinesinde oturarak arka delt kası çalıştırma hareketi (makineye dönük ve kollar geriye doğru uzatılmış şekilde, eller omuz hizasında olmalıdır)."
Deficit Push ups,Chest,none (bodyweight exercise),"Şınav çekerken blokların veya tutacakların üzerinde durun, böylece iniş sırasında ellerinizden daha aşağıya eğilebilirsiniz."
Butterfly Stretch,Legs,none (bodyweight exercise),"1. Ayak tabanlarınız hafifçe birbirine bastırılmış şekilde dua pozisyonunda oturun.

2. Ellerinizi kullanarak ayaklarınızı yavaşça kasıklarınıza doğru çekin. Gerektiği kadar bu pozisyonda kalın."
Frog Stretch,Legs,none (bodyweight exercise),"1. Ellerinizi ve dizlerinizi yere koyun.

2. Dizlerinizi dışa doğru açın ve dirseklerinizin üzerine inin.

3. Dirseklerinizi veya dizlerinizi hareket ettirmeden, kalçalarınızı ayaklarınıza yaklaştırmaya çalışarak ileri ve geri sallanmaya başlayın."
Supino inclinado,Chest,Vücut Ağırlığı,"90 derece eğimli ve hafif, hassas hareketlerle."
Landmine Rotation,Abs,Barbell,"Önce landmine barını omuzlarınızı kullanarak yukarı doğru iterek düz bir şekilde yukarı kaldırın. Ardından, bu pozisyondan yanınıza doğru indirerek karın kaslarınızı çalıştırın ve başlangıç ​​pozisyonuna geri dönün."
Supino Inclinado,Chest,Vücut Ağırlığı,90 derecelik açı.........................
unilateral cross body cable pull down,Shoulders,Vücut Ağırlığı,Kablo sehpasına kabloyu yukarıya yerleştirin ve düz bir kolla kabloyu yukarıdan aşağıya doğru çapraz olarak çekin. Sırt ve omuz kaslarınızdaki gerginliğe odaklanın.
Supino Inclinado,Arms,Vücut Ağırlığı,Yavaşça 90 derecelik bir açıya çevirin.
Trap Bar Squat,Legs,Vücut Ağırlığı,"Altıgen/trap bar kullanımıyla squat ve deadlift prensiplerinin birleşimi, ağırlığı daha iyi merkezleyerek bel üzerindeki stresi azaltır."
ankle dorsiflexion rocks,Legs,none (bodyweight exercise),Topuğunuzu yerde tutarak dizinizi öne doğru hareket ettirin. Bu pozisyonda birkaç saniye bekleyin ve başlangıç ​​pozisyonuna geri dönün.
Lat Pull Down,Back,Vücut Ağırlığı,"Lat pulldown, sırt kaslarını geliştirmek için kullanılan bir egzersizdir. Egzersiz öncelikle lat kaslarını hedef alsa da, pazı ve orta sırt kaslarının da önemli ölçüde çalıştığını fark edeceksiniz."
Parallel Bar Hold,Arms,Vücut Ağırlığı,"1. Paralel barların arasına durun.

2. Ellerinizi, eklemleriniz dışa dönük şekilde barların üzerine koyun.

3. Kendinizi yerden kaldırmak için ellerinize aşağı doğru bastırın.

4. Kollarınız düz bir şekilde, gerekli süre boyunca bu pozisyonda kalın."
Reverse Hyperextension,Legs,Bench,"Yüzüstü bir banka uzanın, bacaklarınız kenardan sarkacak şekilde.

1. Kalçalarınızı bükerek uyluklarınız dikey hale gelsin, aynı anda dizlerinizi de bükerek kaval kemiklerinizin yatay kalmasını sağlayın.

2. Bacaklarınızı düzleştirin, bükülü olmasınlar ve ayak parmaklarınız yatay olarak geriye doğru baksın.

3. Başlangıç ​​pozisyonuna dönün ve tekrarlayın."
Sphinx,Abs,none (bodyweight exercise),"Yüzüstü yere uzanın, bacaklarınızı uzatın ve ayaklarınızın arkasını yere değdirin.
Ön kollarınızı omuzlarınızın altına, dirseklerinizi doğrudan altına getirin.
Ardından ellerinizi yere bastırarak göğsünüzü kaldırın.
Omuz küreklerinizi birbirine yaklaştırın, köprücük kemiklerinizi açın ve alt sırtınızı gevşek tutarak bakışlarınızı ileriye doğru yönlendirin."
Open Book,Back,none (bodyweight exercise),"**Temel Egzersiz**

* **Odak Noktası:** Göğüs hareketliliğini ve
omurga segmentasyonunu artırırken omuzları ve göğsü açar.

* **Pozisyon:** Sağ tarafınız duvara dönük şekilde yerde diz çökün. Kalçalar düz ve sabit, sağ diz yerde ve sol ayak önde. Omurganızı uzatın ve başınızı rahat bir şekilde hizalayın.

Kollarınız gevşek ve göğsünüzün önünde açık, avuç içleriniz birbirine dönük ve elleriniz ayrı olacak şekilde başlayın.

* **Nefes alın**
hareketi başlatmak için, sol kolunuzun -duvardan daha uzakta olan kolunuzun- dışarı ve geriye doğru açılmasına izin verin.
Dönmeyi göğüs omurganızdan yönlendirin,
pelvisinizi sabit tutarken üst sırtınızı kademeli olarak döndürün.

* **Nefes verin** dönüşü tamamlarken, sol elinizi
duvara doğru yönlendirin ve bakışlarınız elinizi takip etsin.

* **Nefes alarak geri dönün** ve
kolunuzu yavaşça öne doğru getirin, omurga rotasyonunu segment segment tersine çevirin.

* **Karşı tarafta tekrarlayın.**

**İlerleme**

* **Pozisyon:** Sağ tarafınız duvara dönük şekilde yere diz çökün. Sol diziniz yerde, sağ ayağınız önde.

* **Temel egzersizden önce:** Nefes alın, **nefes verin** ve sağ kolunuzu duvar boyunca yukarı ve geriye doğru dairesel hareketlerle hareket ettirin, **nefes alın** ve kolunuzu geri getirin.

* **Temel egzersiz.**
* **Karşı tarafta tekrarlayın.**"
Dumbell Tate Press,Arms,"Bench, Dumbbell","1. **Hazırlık**: Her iki elinize birer dambıl alarak yere uzanın. Kollarınızı, dambıl bench press'in en üst noktasındaymış gibi göğsünüzün üzerinde düz bir şekilde uzatın.
2. **Başlangıç ​​Pozisyonu**: Dambılları, avuç içleriniz ayaklarınıza, başparmaklarınız birbirine bakacak şekilde, birbirine değecek veya çok yakın olacak şekilde yerleştirin.
3. **İndirme**: Üst kollarınızı veya omuzlarınızı hareket ettirmeden, dirseklerinizi bükün ve yanlara doğru açın. Dambılların iç uçlarını göğsünüzün ortasına doğru indirin.
4. **Dokunma ve Bekleme**: Dambılları nazikçe göğsünüze değdirin. Ağırlığı vücudunuza yaslamayın; triseps kaslarınızda sürekli gerginlik sağlayın.
5. **Pres**: Dambılları başlangıç ​​pozisyonuna geri döndürmek için dirseklerinizi kuvvetlice uzatın. Triseps kaslarının maksimum düzeyde çalışmasını sağlamak için ""serçe parmaklarınızı yukarı doğru itmeye"" odaklanın.

https://www.youtube.com/watch?v=IgSjoXbpy1M&t=2"
Chest-Supported Rear Delt Raise,Shoulders,"Bench, Dumbbell","""Y"" Pozisyonu: 30-45 derece eğimli bir sehpa ayarlayın. Göğsünüz desteklenmiş şekilde yüzüstü uzanın, boyun zorlanmasını önlemek için başınızı nötr tutun veya hafifçe aşağıya doğru bakın. Tutuş: Hafif dambılları nötr veya başparmak yukarı (başparmak tavana doğru bakacak şekilde) tutuşla tutun. Hareket: Dirsekleriniz düz veya hafifçe bükülmüş halde, dambılları yukarı ve dışarı doğru ""Y"" şeklinde kaldırın. Sadece kolları kaldırmak yerine omuzları ve kürek kemiklerini hareket ettirmeye odaklanın. Tepe Pozisyonu: Kürek kemiklerinizi birbirine yaklaştırın ve yukarı doğru uzanın, kolların ""Y"" şeklini oluşturacak şekilde açılı olduğundan emin olun. Kontrol: Dambılları yavaşça başlangıç ​​pozisyonuna indirin."
Band pull-apart with external rotation,Shoulders,Resistance band,"Ayaklarınız omuz genişliğinde açık, göğsünüz dışarıda ve omuzlarınız geride olacak şekilde dik durun.

Direnç bandını, avuç içleriniz yukarı veya birbirine bakacak şekilde (bant türüne bağlı olarak) iki elinizle tutun.

Dirseklerinizi 90 derecelik bir açıyla bükün ve üst kollarınızı yanlarınıza yapıştırın.

Başlangıç ​​pozisyonunda, elleriniz karnınızın önünde birbirine daha yakın olacak şekilde, bantta bir miktar gerginlik olmalıdır.

Dışa Döndürme: Dirseklerinizi yanlarınıza yakın tutarak, bandı gererek ellerinizi yavaşça birbirinden uzaklaştırın.

Sıkıştırma: Ellerinizi dışa doğru döndürürken kürek kemiklerinizi birbirine ve aşağı doğru sıkıştırın.

Hareket Aralığı: Dirseklerinizin yanlarınızdan ayrılmasına izin vermeden, ellerinizi rahatça döndürebildiğiniz kadar dışa doğru döndürün.

Bekleme: Kas aktivasyonunu en üst düzeye çıkarmak için son pozisyonu 1-2 saniye bekleyin.

Dönüş: Yavaş ve kontrollü bir şekilde ellerinizi başlangıç ​​pozisyonuna geri getirin."
Double-Leg Abdominal Press,Abs,"Gym mat, none (bodyweight exercise)","Sırt üstü uzanın, dizlerinizi ve kalçalarınızı 90 derece bükün (masa üstü pozisyonu).

Ellerinizi dizlerinizin hemen üstüne, uyluklarınızın üzerine koyun. Karın kaslarınızı kullanarak dizlerinizi ellerinize doğru çekerken, ellerinizi olabildiğince sert bir şekilde dizlerinize bastırın.

10 saniye boyunca maksimum eforla bu pozisyonda kalın. Karın kaslarınız titremeli."
